Image,Order No.,Order Date (dd-mm-yyyy),Client Name,University/ College Name,Client District,Client State,Client Pin Code,Book No.,Book Sr. No.,Book Date (dd-mm-yyyy),Product Name,Product Quantity,Product Unit,Unit Price (INR/Unit),Total amount (INR),Tax amount (INR),Delivery/Forwarding charges,Grand Total amount including Tax (INR),Dispatched through (Agency Name),Dispatch RR/ GR No.,Dispatch Date (dd-mm-yyyy),Date  of material receipt (dd-mm-yyyy),Autorised signatory from Standard Library Service
1,521,19-01-1997,"The Principal,","Bal Bharathi Public School,",Pitampura,Delhi,110034,-,-,-,Shelf Label Holder's - 'U' Shape. Made of Steel and enamelled in brown finish. Complete with blank labels and transparent stripe. Size- 12.5cms * 3 cms. ..,200 Nos.,doz,192,3200,,,,,,,,
2,521,19-01-1997,"The Principal,","Bal Bharathi Public School,",Pitampura,Delhi,110034,-,-,-,"Steel Book supports - Made of heavy gauge steel sheets and enamelled in durable finish. Red 30; Green 30 Nos and 40 Nos. Brown. Size - 7 1.4"" * 5"". ..",100 Nos.,doz,300,2500,,,,,,,,
3,521,19-01-1997,"The Principal,","Bal Bharathi Public School,",Pitampura,Delhi,110034,-,-,-,"Bay Guides - (Both-Naya) Size 9"" * 3"". Made of steel and enamelled brown finish. With blank labels and transparent strips. Two holes drilled for fixing on slotted angle steel racks. ..",50 Nos.,ea.,30,1500,,,,,,,,
4,521,19-01-1997,"The Principal,","Bal Bharathi Public School,",Pitampura,Delhi,110034,-,-,-,Accession Registers - 5000 entries each. Leather Bound ..,2 Nos.,ea.,250,500,539,100,8339,,,,,
5,-,-,"British Development Corporation office,","British High Commission,",Chankyapuri,New Delhi,-,-,-,-,"Pamphlet Boxes - Cut Corner Style. Made of extra thick straw board fully covered with rexine cloth of superior quality. Metal Label holder-fitted to the spine of each box. Size - 4""*9 1/2"" * 12 1/2"". Black Colour. ..",36 Nos.,ea.,45,1620,,80,1700,,,,,
6,-,-,"R.D.O,","British High Commission,","Vasant Vihar,",New Delhi,-,-,-,-,"Steel Book Supports - Made of heavy gauge steel sheets and enamelled in durable grey finish, Size - 9 1/2"" * 6"".",8 doz,doz,400,3200,,,3200,-,-,-,-,-
7,-,-,"Rural Development office,","British High Commission,","Vasant Vihar,",New Delhi,110057,-,-,-,"Pamphlet Boxes - Cut Corner Style. Made of extra thick straw board fully covered with rexine cloth of superior quality. Metal Label holder-fitted to the spine of each box. Size - 4""*9 1/2"" * 12 1/2"". Dark Blue Colour. ..",25Nos.,ea.,50,1250,70,,1320,,,,,
8,RDG/Fur/057,11/11/1999,"Rural Development Group,","British High Commission,","Vasant Vihar,",New Delhi,110057,-,-,-,"Periodical Display-Cum-Storage Rack-Having 12 Compartments each of size 34.5cms * 26.5cms. Suitable for display and storage of periodicals. Made of best quality material and well polished. Dim: 61""high; 35""wide and 16""deep. ..",One,Ea.,7500,7500,250,,7750,,,,,
9,-,16-10-2007,The Librarian,Guru Gobind Singh Indraprasatha University,Kashmere Gate,Delhi,110006,2,B/123,17-11-2007,Accession Registers- 5000 entries. Leather Bound,Two,Each,450,900,36,,936,,,,,
10,-,7/9/2016,Lal Chatuana Librarian,Govt. Hrangbana College,Aizawl,-,-,1,C/83,10/9/2016,Barcode Labels - Self Adhesive 65 Labels On one Sheet,50,per pkt.,260,13000,,,,,,,,
11,-,7/9/2016,Lal Chatuana Librarian,Govt. Hrangbana College,Aizawl,-,-,1,C/83,10/9/2016,Postage and pack charges . .,,,,,,,,-,-,-,-,-
12,-,18-11-2013,The Librarian,Govt. Aizawl west college,Aizawl,-,796001,1,C/54,23-11-2013,Transparent Labels - Self Adhesive sticker type.,"60,000",Th.,250,15000,,,,,,,,
13,-,18-11-2013,The Librarian,Govt. Aizawl west college,Aizawl,-,796001,1,C/54,23-11-2013,Bar code Labels - Blank. 65 Labels on one sheet (Total 100 sheets),6 Pkts.,Pkt.,250,1500,,,,,,,,
14,-,18-11-2013,The Librarian,Govt. Aizawl west college,Aizawl,-,796001,1,C/54,23-11-2013,Book Spine Labels - Red Border printed. Self Adhesive.,"10,000",Th.,150,1500,900,,18900,"ABC India Ltd.,toAizawl",UN 70507,23-11-2014,-,-
15,4301/HC-Store-Lab,25-02-1989,The Joint Director(R&E),"G.B.Pant University of Agriculture & Technology,",Tehri Garhwal,-,249199,-,-,-,"Card Catalogue cabinets-Made of best quality seasoned teakwood and well polished. Complete with standard fittings and leg base. Suitable for housing card size 5""*3"". 30-drawers unit. ..",Two,ea.,3350,6700,,,,,,,,
16,4301/HC-Store-Lab,25-02-1989,The Joint Director(R&E),"G.B.Pant University of Agriculture & Technology,",Tehri Garhwal,-,249199,-,-,-,"Periodical Display-cum-storage Racks - Having 25 compartments for display and storage of periodicals. Made of best quality material and well polished. Size 75""*57""*16""deep. ..",Six,ea.,5150,30900,,,,,,,,
17,4301/HC-Store-Lab,25-02-1989,The Joint Director(R&E),"G.B.Pant University of Agriculture & Technology,",Tehri Garhwal,-,249199,-,-,-,"Magazine Display Racks-(5 tiered) Having 5 graduated compartments for display of magazines and roomy shelf on the rear for storage purpose, made of best quality material and well polished. Dimension: 48""*36""*15"" deep. ..",Three,ea.,2025,6075,4367.5,,48042.5,,,,,
18,H.C/Pur./Order/417010,11.01.1989,"The Officer-Incharge, Stores,","G.B.Pant University of Agriculture & Technology,",Tehri Garwal,-,299145,-,-,-,"Catalogue Cards-Size 5""*3"". White. Ruled and punched with a round hole. Imported Card Stock : Heavy Weight. ..","7,000",th.,305,2135,,,,,,,,
19,H.C/Pur./Order/417010,11.01.1989,"The Officer-Incharge, Stores,","G.B.Pant University of Agriculture & Technology,",Tehri Garwal,-,299145,-,-,-,Blank Catalogue Guide Cards - Extra thick quality. Tab cut and punched with a round hole. ..,500,hd.,38,190,,,,,,,,
20,H.C/Pur./Order/417010,11.01.1989,"The Officer-Incharge, Stores,","G.B.Pant University of Agriculture & Technology,",Tehri Garwal,-,299145,-,-,-,"Book Cards - Size 3""*5"". Printed both sides on heavy weight. Coloured Card Stock. ..","2,000",th.,150,300,,,,,,,,
21,H.C/Pur./Order/417010,11.01.1989,"The Officer-Incharge, Stores,","G.B.Pant University of Agriculture & Technology,",Tehri Garwal,-,299145,-,-,-,Book Labels - Self Adhesive Sticker Type. Round shape.,"2,000",th.,75,150,,,,,,,,
22,H.C/Pur./Order/417010,11.01.1989,"The Officer-Incharge, Stores,","G.B.Pant University of Agriculture & Technology,",Tehri Garwal,-,299145,-,-,-,Date Due Slipe-Printed on superior white paper with matter as per your sample. ..,"2,000",th.,65,130,,,,,,,,
23,H.C/Pur./Order/417010,11.01.1989,"The Officer-Incharge, Stores,","G.B.Pant University of Agriculture & Technology,",Tehri Garwal,-,299145,-,-,-,Book Pockets - Bag Shaped. Printed.,"2,000",th.,160,320,,,,,,,,
24,H.C/Pur./Order/417010,11.01.1989,"The Officer-Incharge, Stores,","G.B.Pant University of Agriculture & Technology,",Tehri Garwal,-,299145,-,-,-,"Printed Charging ray Guides - For 3""*5"" cards Dates (1-31)",5 sets.,set,35,175,,,,,,,,
25,H.C/Pur./Order/417010,11.01.1989,"The Officer-Incharge, Stores,","G.B.Pant University of Agriculture & Technology,",Tehri Garwal,-,299145,-,-,-,"Reader's Tickets - Size 2""*3"". Made of plastic. Fabricated and printed both sides as per your sample 125 green, 125 Blue, 125 Red, 125 Brown. ..",500,lot,450,450,,,,,,,,
26,H.C/Pur./Order/417010,11.01.1989,"The Officer-Incharge, Stores,","G.B.Pant University of Agriculture & Technology,",Tehri Garwal,-,299145,-,-,-,"Reference Cards - Size 5""*3"". White. Ruled both sides. Indian Card Stock : Medium weight (Superior)","3,000",th.,115,345,419.5,,4614.5,,,,,
27,-,-,"The Library Incharge,","Ghabib Academy,",-,New Delhi,110013,-,-,-,"Steel Book Supports - Made of heavy gauge steel sheets and enamelled in durable dark grey finish. Standard Size - 7 1/4""*5"". ..",6 doz,doz,240,1440,100.8,,1540.8,,,,,
28,GKL/85/6602,8/7/2005,The Librarian,Gurukul kangri vishwavidyalaya,Hardwar,-,249 404,2,C/114,25-08-2005,"Borrower's Tickets-Size 3""*3"", 3/4"". Made of thick card reinforced with cloth. Fabricated and printed as per your sample. Yellow colour.",8500,Th.,950,8075,807.5,312.5,9195,Passenger train to Haridwar Jn.railway stn.,F 462778,24-08-2005,-,-
29,4301/HC-Store-Lab.,25-02-1989,"The Joint Director(R & E) Hill Campus,","G.B. Pant University of Agriculture & Technology,",Tehri Garhwal,-,249 199,-,-,-,"Card catalogue cabinet - Made of best quality seasoned teakwood and well polished. Complete with standard fittings and leg base. Suitable for housing card size 5""*3"". 30-drawers unit. ..",Two,ea.,3350,6700,,,,,,,,
30,4301/HC-Store-Lab.,25-02-1989,"The Joint Director(R & E) Hill Campus,","G.B. Pant University of Agriculture & Technology,",Tehri Garhwal,-,249 199,-,-,-,"Periodical Display-Cum-Storage Racks-Havings 25 Compartments for display and storage of periodicals. Made of best quality material and well polished. Size 75""*57""*16""deep. ..",Six,ea.,5150,30900,,,,,,,,
31,4301/HC-Store-Lab.,25-02-1989,"The Joint Director(R & E) Hill Campus,","G.B. Pant University of Agriculture & Technology,",Tehri Garhwal,-,249 199,-,-,-,"Magazine Display racks-(5 tiered) Having 5 graduated compartments for display of magazines and roomy shelf on the rear for storage purpose, made of best quality material and well polished. Dim:48""*36""*15""deep.",Three,ea.,2025,6075,"4,367.50",,"48,042.50",-,-,,,
32,AG/D-521,13-08-2001,"The Director,","Ghalib Institute,",-,New Delhi,110002,-,-,-,"Catalogue Cards-Size 5""*3"". Urdu Ruled. Punched. Indian card stock : Medium weight(Superior) ..",2000,th.,280,560,,,,,,,,
33,AG/D-521,13-08-2001,"The Director,","Ghalib Institute,",-,New Delhi,110002,-,-,-,"Catalogue Cards- Size 6""*4"". White. Ruled both sides as per your sample. Indian Card Stock: Medium weight (Superior) ..",5000,th.,450,2250,224.8,,3034.8,,,,,
34,-,-,"The Director,","Ghalib Institute,",-,New Delhi,110002,-,-,-,"Card Catalogue Cabinet - Made of best quality seasoned teakwood and well polished. Complete with standard fittings and leg base. Suitable for housing cards size 6""*4"". 12-Drawers unit. ..",One,Dr.,400,4800,384,,5184,,,,,
35,GKL/85/6602,8/7/2005,The Librarian,Gurukul Kangri Vishwavidyalaya,Hardwar,-,249,3,PROFORMA BILL,10/2/2006,"Card Catalogue Cabinet - Made of best quality seasoned teak wood and well polished. Cum-plate with standard fittings and leg base. Suitable for housing cards size 5""*3"". 12-Drawers Unit.",2 Nos.,Ea.,3600,7200,900,,8100,-,-,-,-,-
36,GKL/85/6869,25-05-2006,The Librarian,Gurukul Kangri Vishwavidyalaya,Hardwar,-,249 407,1,C/40,27-06-2006,"Steel Book supports-Made of heavy gauge steel and powder coated in white finish. Size - 7 1/4""*5"".",560 Nos.,Each,40,22400,2800,625,25825,"Pasenger train to Haridwar railway station,",G 115500,27-06-2006,-,-
